image_name,points
medicakolkata_mau_mon--2_2022_6_8_6_8_51.jpeg,"[459.5, 169.5, 886.0999755859375, 172.1999969482422, 880.9000244140625, 483, 460, 481.70001220703125]"
kamalnayanbajaj_micu_mon--22_2022_6_20_17_47_21.jpeg,"[422.4, 158, 967.8, 135.5, 957.3, 545.2, 409.5, 572.4]"
kamalnayanbajaj_micu_mon--15_2022_6_20_22_46_20.jpeg,"[497.4, 184.9, 792.7999877929688, 229.1999969482422, 781.2000122070312, 486.8999938964844, 495, 439]"
medicakolkata_ccu2_mon--3_2022_5_30_12_6_19.jpeg,"[353.79998779296875, 112.69999694824219, 764.2999877929688, 151.5, 769.5, 521.9000244140625, 361.6000061035156, 471.3999938964844]"
medicakolkata_ccu2_mon--5_2022_6_8_6_6_37.jpeg,"[246.9, 155.3, 756.5999755859375, 205.89999389648438, 773.4000244140625, 617.7000122070312, 257.7, 552]"
hcgbhavnagar_micu_mon--404_2022_6_8_9_20_1.jpeg,"[228.9, 110.4, 808.4000244140625, 79, 837, 538.3, 247.60000610351562, 553]"
medicakolkata_ccu1_mon--7_2022_6_8_1_1_30.jpeg,"[467.4, 188.1, 854.1, 188.5, 855, 472.70001220703125, 466.5, 474]"
medicakolkata_ccu2_mon--5_2022_5_18_5_6_2.jpeg,"[337, 165.8000030517578, 884, 213.8, 886.0999755859375, 624.2000122070312, 339.6000061035156, 572.4000244140625]"
medicakolkata_ccu2_mon--2_2022_5_18_3_5_28.jpeg,"[238.4, 76.5, 721.5999755859375, 97.0999984741211, 735.7999877929688, 457.1000061035156, 251.5, 432.5]"
medicakolkata_ccu1_mon--10_2022_5_18_6_1_55.jpeg,"[339.6000061035156, 178.6999969482422, 830.4000244140625, 172.1999969482422, 849.7999877929688, 584, 353.79998779296875, 582.7000122070312]"
medicasiliguri_icu_mon--7_2022_5_18_11_15_27.jpeg,"[398.4, 309.1, 665.8, 307.6, 668.1, 509, 397.9, 518.6]"
medicakolkata_ccu2_mon--3_2022_5_30_6_6_3.jpeg,"[319.6, 122.8, 741, 160.60000610351562, 750.0999755859375, 532.2000122070312, 327.8999938964844, 485.6000061035156]"
medicakolkata_ccu3_mon--6_2022_5_18_18_3_52.jpeg,"[295.5, 137.3, 822.5999755859375, 183.89999389648438, 792.8, 576.3, 269.6, 529.6]"
medicakolkata_ccu3_mon--2_2022_5_30_23_2_38.jpeg,"[443.20001220703125, 195.5, 981, 201.1, 961.2000122070312, 565.9000244140625, 423.70001220703125, 572.4000244140625]"
medicakolkata_mau_mon--4_2022_5_18_12_7_11.jpeg,"[229.5, 279.70001220703125, 732, 274.5, 746.2000122070312, 616.4000244140625, 246.3000030517578, 620.2999877929688]"
medicakolkata_ccu2_mon--3_2022_5_30_11_6_19.jpeg,"[349.8999938964844, 110.0999984741211, 760.4000244140625, 151.5, 766.9000244140625, 518, 357.9, 467.6]"
kamalnayanbajaj_micu_mon--21_2022_6_20_21_47_5.jpeg,"[268.2, 93.5, 792.7999877929688, 168.3000030517578, 794.0999755859375, 581.4000244140625, 276.1000061035156, 494.70001220703125]"
medicakolkata_ccu2_mon--7_2022_5_18_23_7_19.jpeg,"[513.1, 167.1, 915.8, 165.8, 897.7, 481.7, 493.7, 481.7]"
medicakolkata_ccu1_mon--3_2022_6_8_12_0_13.jpeg,"[365.5, 165.8000030517578, 844.5999755859375, 200.6999969482422, 845.9000244140625, 598.2999877929688, 373.20001220703125, 550.4000244140625]"
kamalnayanbajaj_micu_mon--21_2022_6_20_9_47_40.jpeg,"[267.1000061035156, 97.0999984741211, 791.5, 174.8000030517578, 795.4000244140625, 582.7000122070312, 280, 493.3999938964844]"
spsludhiana_micuiithirdfloor_mon--MII03_2022_5_18_7_8_24.jpeg,"[655.1, 45, 1104.9000244140625, 44, 1090.699951171875, 335.3999938964844, 646.5, 345.79998779296875]"
medicakolkata_rcu_mon--9_2022_5_30_6_5_37.jpeg,"[524.3, 180.5, 761.1, 205.1, 791.5, 450.70001220703125, 558.4, 414.6]"
medicasiliguri_icu_mon--7_2022_5_18_0_15_28.jpeg,"[436.6, 309.9, 696.8, 302.1, 698, 501.1, 435.5, 516.2]"
medicakolkata_ccu3_mon--6_2022_6_8_17_3_20.jpeg,"[340.4, 159, 870.5, 209.8000030517578, 841, 597.2, 307.6, 551.6]"
medicakolkata_ccu1_mon--4_2022_6_20_9_0_36.jpeg,"[460, 165.8000030517578, 968.9000244140625, 180, 963.7999877929688, 560.7000122070312, 452.3, 548]"
medicakolkata_mau_mon--1_2022_5_30_18_8_29.jpeg,"[464.1, 232.3, 906.2, 230.8, 878.2999877929688, 595.7000122070312, 440.6000061035156, 604.7999877929688]"
medicasiliguri_icu_mon--4_2022_6_8_9_15_13.jpeg,"[339.8, 256.4, 805.7999877929688, 278.3999938964844, 796.7000122070312, 661.7000122070312, 337.8, 637]"
medicakolkata_mau_mon--4_2022_5_18_21_7_35.jpeg,"[281.29998779296875, 277.1000061035156, 782.7, 274.2, 795.4000244140625, 615.0999755859375, 296.79998779296875, 617.7000122070312]"
medicakolkata_rcu_mon--9_2022_5_30_7_5_37.jpeg,"[524.4, 179.8, 762, 203.9, 790.2000122070312, 449.3999938964844, 560, 415]"
medicakolkata_ccu2_mon--5_2022_5_18_22_6_55.jpeg,"[312.3999938964844, 168.3000030517578, 842, 218.89999389648438, 849.7999877929688, 626.7999877929688, 313.70001220703125, 571.0999755859375]"
medicakolkata_rcu_mon--9_2022_5_18_12_5_28.jpeg,"[565.7, 196.5, 861.5, 212.4, 880.9000244140625, 459.70001220703125, 586.2, 436.2]"
hcgnagpur_icu_mon--3_2022_5_18_1_30_28.jpeg,"[234.4, 137.1, 651.7000122070312, 130.8000030517578, 658.0999755859375, 437.70001220703125, 245, 444.20001220703125]"
hcgbhavnagar_micu_mon--406_2022_5_18_7_20_24.jpeg,"[359, 116.5, 834.6, 133.7, 821.2999877929688, 498.6000061035156, 344.79998779296875, 476.6000061035156]"
medicakolkata_ccu2_mon--2_2022_6_8_14_6_14.jpeg,"[305.8999938964844, 79, 808.4000244140625, 90.5999984741211, 813.5, 453.20001220703125, 320.20001220703125, 436.3999938964844]"
medicakolkata_ccu3_mon--5_2022_6_8_2_2_54.jpeg,"[478, 212.9, 1009.0999755859375, 194.1999969482422, 998.7000122070312, 519.2999877929688, 473, 538.7000122070312]"
